anio,entidad,edad_quinquenal,sexo,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,fecha
2011,BAJA CALIFORNIA,50 a 54 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,55 a 59 años,Femenino,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,55 a 59 años,Masculino,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA,55 a 59 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,60 a 64 años,Femenino,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,60 a 64 años,Masculino,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,60 a 64 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,65 a 69 años,Femenino,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,65 a 69 años,Masculino,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,65 a 69 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,70 a 74 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,70 a 74 años,Masculino,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,70 a 74 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,75 a 79 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,75 a 79 años,Masculino,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,75 a 79 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,80 a 84 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,80 a 84 años,Masculino,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,80 a 84 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,90 a 94 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,90 a 94 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,90 a 94 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,95 a 99 años,Femenino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,95 a 99 años,Masculino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,95 a 99 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,1 a 4 años,Femenino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,1 a 4 años,Masculino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2011-12-31
2011,BAJA CALIFORNIA SUR,1 a 4 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,10 a 14 años,Femenino,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA SUR,10 a 14 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2011-12-31
2011,BAJA CALIFORNIA SUR,10 a 14 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,15 a 19 años,Femenino,12.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,2.0,3.0,2011-12-31
2011,BAJA CALIFORNIA SUR,15 a 19 años,Masculino,13.0,1.0,7.0,0.0,2.0,1.0,2.0,0.0,1.0,6.0,2011-12-31
2011,BAJA CALIFORNIA SUR,15 a 19 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,20 a 24 años,Femenino,5.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,2011-12-31
2011,BAJA CALIFORNIA SUR,20 a 24 años,Masculino,9.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,2011-12-31
2011,BAJA CALIFORNIA SUR,20 a 24 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,25 a 29 años,Femenino,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,25 a 29 años,Masculino,10.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,2011-12-31
2011,BAJA CALIFORNIA SUR,25 a 29 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,30 a 34 años,Femenino,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2011-12-31
2011,BAJA CALIFORNIA SUR,30 a 34 años,Masculino,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,2011-12-31
2011,BAJA CALIFORNIA SUR,30 a 34 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,35 a 39 años,Femenino,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA SUR,35 a 39 años,Masculino,13.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2011-12-31
2011,BAJA CALIFORNIA SUR,35 a 39 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,40 a 44 años,Femenino,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,40 a 44 años,Masculino,13.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA SUR,40 a 44 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA SUR,45 a 49 años,Femenino,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA SUR,45 a 49 años,Masculino,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-12-31
