anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,CIUDAD DE MÉXICO,30 A 49 AÑOS,HOMBRES,2762,11,1097,4792,91,333,182,20,1,295,0,Ciudad de México
2024,CIUDAD DE MÉXICO,30 A 49 AÑOS,MUJERES,6274,11,3534,10737,127,346,217,14,4,210,0,Ciudad de México
2024,CIUDAD DE MÉXICO,5 A 9 AÑOS,HOMBRES,635,0,202,6352,5,383,55,1018,2099,55,1900,Ciudad de México
2024,CIUDAD DE MÉXICO,5 A 9 AÑOS,MUJERES,647,0,183,2944,1,246,46,183,536,21,1081,Ciudad de México
2024,CIUDAD DE MÉXICO,50 A 59 AÑOS,HOMBRES,1366,35,504,2248,32,116,64,2,0,129,0,Ciudad de México
2024,CIUDAD DE MÉXICO,50 A 59 AÑOS,MUJERES,3302,32,1949,5688,64,132,85,2,0,122,0,Ciudad de México
2024,CIUDAD DE MÉXICO,60 AÑOS Y MÁS,HOMBRES,1408,389,660,2657,24,44,43,3,1,85,0,Ciudad de México
2024,CIUDAD DE MÉXICO,60 AÑOS Y MÁS,MUJERES,3716,875,2600,7488,54,54,77,1,0,111,0,Ciudad de México
2024,COAHUILA DE ZARAGOZA,10 A 14 AÑOS,HOMBRES,32,0,11,157,0,13,1,7,10,2,81,Coahuila
2024,COAHUILA DE ZARAGOZA,10 A 14 AÑOS,MUJERES,102,0,34,182,0,4,0,0,0,2,40,Coahuila
2024,COAHUILA DE ZARAGOZA,15 A 19 AÑOS,HOMBRES,6,0,21,50,0,3,2,0,6,2,10,Coahuila
2024,COAHUILA DE ZARAGOZA,15 A 19 AÑOS,MUJERES,55,0,60,137,1,4,1,1,1,4,10,Coahuila
2024,COAHUILA DE ZARAGOZA,20 A 29 AÑOS,HOMBRES,74,0,17,117,2,5,1,3,0,15,0,Coahuila
2024,COAHUILA DE ZARAGOZA,20 A 29 AÑOS,MUJERES,231,0,121,387,2,13,3,3,0,14,0,Coahuila
2024,COAHUILA DE ZARAGOZA,30 A 49 AÑOS,HOMBRES,70,0,45,142,2,6,0,1,0,18,0,Coahuila
2024,COAHUILA DE ZARAGOZA,30 A 49 AÑOS,MUJERES,261,0,110,404,5,7,3,2,0,16,0,Coahuila
2024,COAHUILA DE ZARAGOZA,5 A 9 AÑOS,HOMBRES,25,0,1,138,1,6,5,28,6,3,63,Coahuila
2024,COAHUILA DE ZARAGOZA,5 A 9 AÑOS,MUJERES,8,0,3,57,0,5,0,11,0,9,21,Coahuila
2024,COAHUILA DE ZARAGOZA,50 A 59 AÑOS,HOMBRES,27,0,25,65,0,2,1,0,0,10,0,Coahuila
2024,COAHUILA DE ZARAGOZA,50 A 59 AÑOS,MUJERES,80,2,71,165,2,0,0,0,0,10,0,Coahuila
2024,COAHUILA DE ZARAGOZA,60 AÑOS Y MÁS,HOMBRES,26,30,34,97,1,4,0,0,0,2,0,Coahuila
2024,COAHUILA DE ZARAGOZA,60 AÑOS Y MÁS,MUJERES,69,30,78,183,2,0,0,0,0,4,0,Coahuila
2024,COLIMA,10 A 14 AÑOS,HOMBRES,27,0,12,145,0,12,2,9,12,0,71,Colima
2024,COLIMA,10 A 14 AÑOS,MUJERES,111,0,39,239,0,16,7,3,4,1,58,Colima
2024,COLIMA,15 A 19 AÑOS,HOMBRES,14,0,18,63,0,8,1,7,4,2,9,Colima
2024,COLIMA,15 A 19 AÑOS,MUJERES,65,0,46,135,0,10,1,3,4,1,5,Colima
2024,COLIMA,20 A 29 AÑOS,HOMBRES,94,0,21,141,1,8,0,5,0,12,0,Colima
2024,COLIMA,20 A 29 AÑOS,MUJERES,282,0,75,383,0,9,10,0,0,7,0,Colima
2024,COLIMA,30 A 49 AÑOS,HOMBRES,150,0,36,266,7,19,8,1,0,45,0,Colima
2024,COLIMA,30 A 49 AÑOS,MUJERES,427,0,116,602,15,15,12,0,0,17,0,Colima
2024,COLIMA,5 A 9 AÑOS,HOMBRES,8,0,3,236,0,11,2,57,45,0,110,Colima
2024,COLIMA,5 A 9 AÑOS,MUJERES,26,0,2,105,0,4,0,15,6,0,52,Colima
2024,COLIMA,50 A 59 AÑOS,HOMBRES,41,0,12,75,6,2,1,0,0,13,0,Colima
2024,COLIMA,50 A 59 AÑOS,MUJERES,152,1,38,217,7,2,1,1,0,15,0,Colima
2024,COLIMA,60 AÑOS Y MÁS,HOMBRES,55,13,20,96,2,0,1,0,0,5,0,Colima
2024,COLIMA,60 AÑOS Y MÁS,MUJERES,148,16,44,229,1,2,4,0,0,14,0,Colima
2024,DURANGO,10 A 14 AÑOS,HOMBRES,134,0,35,407,4,12,1,6,51,2,162,Durango
2024,DURANGO,10 A 14 AÑOS,MUJERES,265,0,109,564,14,3,4,5,11,2,151,Durango
